	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Fcer1g	1.648869276046753	261.1452843167045	2.541304864859077e-56	8.54544630948402e-33	1.0	3.9825929198727504e-63	1.1413871694844309e-20
Fcgr3	1.720146656036377	260.9867380516167	2.750133500793431e-56	3.4080530360414913e-63	1.0	2.787908889748899e-42	5.683790404109769e-28
Myo1f	1.5568004846572876	255.24261368223216	4.8070531870992304e-55	4.71986382866024e-25	1.0	8.456826677185613e-59	3.898620792694537e-11
Tifab	1.7156985998153687	249.3840640939671	8.892913505133518e-54	1.0571167187595471e-51	1.0	8.272402357962667e-57	2.6730380549467208e-21
Fcgr2b	1.728826642036438	242.29413899772493	3.036611229833637e-52	5.32778537454209e-54	1.0	1.9890948405783946e-50	5.709996943107677e-28
Irf8	1.5658117532730103	237.50354970909265	3.298767814010748e-51	1.0776758413466495e-36	1.0	4.172125435140293e-55	1.7593740112431968e-09
Fes	1.5709997415542603	235.2767464286492	9.996949045958767e-51	1.2437024931055585e-29	1.0	3.0321724946049128e-55	2.71994113983446e-10
Trem3	1.7300859689712524	233.47637004027663	2.449967156258887e-50	1.5587479700164024e-50	1.0	2.5880251355604427e-45	3.3710696031899775e-34
Mgat5	1.6762641668319702	233.03914042504977	3.045789473927349e-50	1.0185267664144214e-54	1.0	4.907502811630682e-30	1.1070256401364828e-26
Prss57	1.6865676641464233	229.16726947034567	2.0934323060859028e-49	8.166653874555558e-47	1.0	4.796712882477361e-52	3.376904520789288e-19
Gria3	1.7020596265792847	227.24516999687606	5.450349818873604e-49	2.3229750798710677e-32	1.0	5.331253749130403e-54	4.52825853010647e-25
Tspan13	-1.6369247436523438	223.12020897309998	4.24820314794912e-48	1.5639186212686963e-39	1.0	2.206334057372665e-34	3.134207445305959e-45
Pdia6	1.5852150917053223	218.56634228452805	4.0985200694870886e-47	4.112269752661701e-50	1.0	2.239975705526465e-22	4.403070455037753e-21
F13a1	1.7303045988082886	218.27764149727128	4.731874550231761e-47	3.3917036405854013e-49	1.0	9.26643651475351e-39	3.018251198522708e-30
Nkg7	1.567780613899231	217.2361025520626	7.946416348802094e-47	3.274027770991577e-50	1.0	8.67815317625718e-22	7.675167143551621e-13
Hspa5	1.6038916110992432	212.26426830694257	9.436480247126534e-46	2.176114148156126e-47	1.0	1.813226668219714e-19	2.2095694967874737e-20
Csf2rb	1.6781388521194458	210.61600700437225	2.1431297229328004e-45	1.8797455384897337e-32	1.0	1.7576730778551438e-50	1.9485366725159963e-14
Atp1a3	1.67411208152771	208.4376845385255	6.336199643840011e-45	6.783470533339449e-46	1.0	2.3436053381636006e-42	7.125699664075195e-13
Mcpt8	1.7278969287872314	204.16561745982517	5.309365113034618e-44	4.667324239509083e-47	1.0	3.581227022340343e-37	4.567943236302558e-24
Arl11	1.6737277507781982	203.65085659441206	6.859281243478474e-44	1.0700979733870317e-40	1.0	3.1373338434091013e-46	5.366454599009344e-19
H2-Q7	-1.5959101915359497	197.12043129927645	1.767399625058282e-42	5.02761928392868e-41	1.0	1.6418451983565748e-16	1.2546215554162424e-24
Abcd2	1.7312736511230469	192.5700714032057	1.6998582482500128e-41	2.6484256090023843e-39	1.0	1.1818110264384873e-38	1.5681298202244815e-28
I830127L07Rik	1.692965030670166	191.24716351513084	3.282441328622957e-41	2.265894245839142e-18	1.0	3.7810077265617525e-43	2.5428171310274074e-08
Bcl2	1.709141492843628	190.3771209293092	5.059928891556742e-41	7.656678941527893e-39	1.0	1.99942810891962e-42	4.470669082905487e-16
Hexa	1.699415922164917	189.98814466213958	6.140023153038211e-41	1.01213459270146e-28	1.0	3.5799583408065935e-44	7.394120231385841e-23
Edem1	1.6622895002365112	188.8695036012053	1.071052666459007e-40	7.724746972584694e-41	1.0	8.188182644986455e-27	3.6504691869595243e-29
Ctsz	1.5920655727386475	181.82863814980942	3.552656253047048e-39	9.282647472213102e-41	1.0	1.9746789418639266e-19	2.1530349815198846e-20
Csf1r	1.68826162815094	176.8199935609066	4.287139693032567e-38	4.1528666526524437e-29	1.0	8.027058512164653e-42	5.955611605723798e-13
Tcirg1	1.5615791082382202	176.29943995200438	5.553558203622872e-38	1.902749096208138e-15	1.0	3.2272653403547686e-39	2.2358610878491513e-08
Ly86	1.7257407903671265	174.628900228355	1.2743249460466737e-37	2.3469779134982503e-38	1.0	1.6570158001918087e-34	5.149885298433629e-21
Casp1	1.5007340908050537	173.7221702157009	2.0001217443603526e-37	2.298105419089867e-13	1.0	2.540405537298154e-37	9.724185439737735e-07
Sirpa	1.540442943572998	171.73063140626502	5.383173153586254e-37	1.5193435647954376e-12	1.0	1.4222379725760977e-36	7.012488390199283e-07
Cldn15	1.7317979335784912	171.62256594862603	5.680274750694432e-37	9.987959839467755e-37	1.0	3.5808844332364517e-35	1.0208033233681356e-20
Hdc	1.7162585258483887	171.08535283982053	7.419091320222775e-37	1.2678267280800312e-38	1.0	1.4508110646039875e-31	1.405898750594337e-20
Mtus1	1.7131481170654297	170.77135203004656	8.672430085792168e-37	2.472306766357148e-23	1.0	1.5190243918723862e-37	2.0350845832654526e-24
Tmem229b	1.7224119901657104	168.30796013747306	2.9508080495831644e-36	1.0934809148915017e-37	1.0	7.291226883225196e-32	4.9243656191953273e-20
Tspoap1	1.7282603979110718	164.26717671124538	2.1987272420944882e-35	2.6511572803702655e-35	1.0	1.6731428211242788e-31	2.3480654974011013e-22
App	1.6092394590377808	164.22788779264815	2.2420821236376725e-35	1.9268467327326547e-15	1.0	4.385118522198534e-36	8.760092458473984e-17
Nsd2	1.5510752201080322	160.7170601128654	1.2834599601619504e-34	6.218044186621927e-31	1.0	5.1283983499895803e-14	5.173025133043837e-25
Pdia3	1.5268142223358154	156.69608118855916	9.464396958717822e-34	5.4290534002835256e-30	1.0	3.3559445941922325e-08	7.684699349014811e-14
Ube2l6	-1.5739725828170776	153.6156286293307	4.3726819265069874e-33	3.558368477928222e-34	1.0	6.393953027009356e-27	5.403760249086468e-07
Spns3	1.648689866065979	150.1178762577187	2.485067995035596e-32	1.8494042766193838e-35	1.0	2.043135108289649e-20	4.218310304124762e-11
Cd81	-1.6719775199890137	149.4981305820699	3.380864571311898e-32	5.053804838224511e-30	1.0	4.8429889440241994e-32	1.1747165644820754e-08
Gpc1	1.7074710130691528	145.0233806988071	3.1203000459132335e-31	5.635485759954108e-21	1.0	1.4690602587084884e-32	2.7211749202753106e-19
Eml4	1.6342339515686035	143.42816874944185	6.8900611934285725e-31	1.5589330414849208e-12	1.0	2.6206178030676513e-31	1.2909838540368664e-12
Cers6	1.6962544918060303	142.50608710222824	1.0891037134729164e-30	1.3881760067070533e-22	1.0	1.3907540936792222e-33	6.655336319915506e-11
Slco3a1	1.6266095638275146	142.0400318000765	1.3726832342735135e-30	6.678042287257633e-20	1.0	2.1331053561839382e-33	4.831886267401318e-09
Ankrd44	1.6312466859817505	137.46428347768077	1.3309773486234115e-29	2.379897761683923e-22	1.0	1.2501214256526825e-31	1.788513248878967e-07
Cfp	1.6287970542907715	136.8613713832761	1.7953556475076522e-29	5.08163389242234e-22	1.0	4.029592784243406e-32	6.818479708588925e-10
Mpeg1	1.5945206880569458	136.23309584914563	2.4524151069355545e-29	7.630760740551381e-27	1.0	2.0879832225272262e-29	8.217320351294121e-08
Vsir	1.5273622274398804	135.59306461458743	3.369513108793724e-29	1.3424631001846512e-19	1.0	1.5375176979909243e-31	2.2742368234564815e-07
Anxa2	1.5220715999603271	134.7881874279441	5.024234525706686e-29	1.8756777738506168e-13	1.0	1.0243068262033533e-29	7.389414347224039e-05
Sorl1	1.6903594732284546	133.83755956825786	8.053443176886107e-29	4.601299755972302e-21	1.0	1.7279369191911649e-31	5.275662538511032e-10
Gpr160	1.6726524829864502	133.62940291472242	8.929953470992895e-29	1.4533561947584078e-26	1.0	3.03349580484673e-29	4.092183358772843e-09
Pkib	1.6332488059997559	133.23496538902555	1.0860947668380596e-28	1.245345882350544e-25	1.0	4.0873894949056575e-29	1.4357644371795509e-07
Mapkapk3	1.6962751150131226	132.9966818084645	1.2224394362138645e-28	8.931085334609826e-21	1.0	1.7613808131466418e-29	2.0404918481089574e-18
I830077J02Rik	1.711523175239563	132.98265605807555	1.2309784225085275e-28	2.0694297693969582e-29	1.0	1.4749099660486366e-26	8.314502177512863e-12
Slc28a2	1.5865623950958252	132.83349607883068	1.3255618773471034e-28	9.484096668298411e-17	1.0	4.074295346923472e-31	5.841662084954047e-10
Vim	1.5008586645126343	131.4600408520642	2.620707222858197e-28	3.1032938272347993e-11	1.0	1.407673248094658e-27	9.53653868739966e-15
Hpse	1.6448087692260742	129.78800466161343	6.008396176662279e-28	3.643448906176438e-27	1.0	2.9790271524060924e-27	8.065876559757307e-09
Tmem50b	1.674057126045227	129.3409037436804	7.500794500946192e-28	8.277612660333866e-18	1.0	1.942328098396871e-30	5.927885803169879e-11
Idh1	1.7029837369918823	124.6930132383564	7.525914488212491e-27	3.4986183377738047e-16	1.0	1.078828475092227e-28	1.6918154303706588e-13
Fndc3b	1.731792688369751	121.97789334476246	2.893578582070005e-26	7.375837841938201e-24	1.0	5.19416271862617e-26	8.986524980573315e-16
Fgl2	1.5619823932647705	121.52916617106584	3.6148283288913913e-26	1.8840028864380403e-15	1.0	2.2852403497452116e-28	8.627138598135302e-08
Ifi209	1.6806646585464478	121.40154856131932	3.851013225191846e-26	1.3709349216664236e-24	1.0	3.249097457244945e-26	1.8063305996902373e-08
Ly6e	1.5226401090621948	119.66827544029026	9.096586585528524e-26	5.1200756794924146e-20	1.0	3.734183010569174e-27	3.193066660364413e-06
Atrn	1.6290199756622314	119.5199138885921	9.79106141476932e-26	3.351717907350311e-24	1.0	3.43181455918229e-10	1.8398657111219594e-15
Pdia4	1.671049952507019	118.0756571588072	2.003777754144915e-25	8.332062168295023e-28	1.0	1.707429567632107e-17	5.405965030539116e-10
Ccr2	1.7217676639556885	117.32112452235742	2.912897663409195e-25	2.2864457155670508e-20	1.0	4.825333514275734e-27	4.043267007715726e-12
Lmo4	1.7130337953567505	116.82299332828191	3.7289322427510666e-25	7.752079672149156e-21	1.0	6.783789524714754e-27	3.331153685090051e-11
Cd68	1.6668192148208618	116.34635289425833	4.7229431825505725e-25	5.0475724946068975e-20	1.0	6.125841872093839e-27	1.8966938213436908e-08
Flnb	1.7039101123809814	115.91508104906124	5.848834584900915e-25	6.677424813018429e-19	1.0	4.754522299058515e-25	4.978953212076924e-17
Pla2g15	1.722878336906433	115.22113488065305	8.250417723575637e-25	1.516664089879989e-23	1.0	5.043720282033755e-25	1.7479958193285554e-10
Emilin1	1.7179633378982544	114.86622396418838	9.837512909098413e-25	1.619249406347326e-19	1.0	1.9959307611124925e-26	1.52890404522273e-12
Mefv	1.7315336465835571	112.66119292311289	2.9347076330051863e-24	5.4746087467751216e-24	1.0	1.4266148659331334e-22	8.178566341946044e-14
BE692007	1.724705457687378	111.73523488174311	4.6437956318751755e-24	8.411922687179699e-22	1.0	1.1237205414227453e-22	2.3019330515553655e-16
Tor3a	1.5014961957931519	111.6826151266998	4.766491593966137e-24	2.2657221680964982e-07	1.0	5.538148429406903e-23	8.424257249604385e-05
Rgcc	1.5599651336669922	109.94503896781981	1.1276221182635158e-23	1.3089185058263738e-20	1.0	2.999457284465312e-09	4.134847903544623e-17
F10	1.6983869075775146	109.59639879459596	1.3402703069387657e-23	1.364988919679211e-22	1.0	5.256159912005196e-14	1.923819246284625e-17
Sort1	1.718247652053833	108.27699026832506	2.5770050545943257e-23	3.310373133755037e-20	1.0	1.2845337117893925e-24	4.3518756703559875e-09
Txndc11	1.5488605499267578	107.59035461753768	3.6212607927436106e-23	2.617965847454836e-22	1.0	1.5905396648338728e-07	6.340747301766785e-08
Svip	1.5023999214172363	107.21604528025047	4.359101471492891e-23	2.4194838616809068e-20	1.0	5.412767952775151e-06	3.598451529545012e-10
Pfkp	1.6697485446929932	107.0319761531513	4.7753008762830506e-23	7.494192691031658e-17	1.0	7.26712023058603e-23	2.6971470712213966e-16
Ltb4r1	1.7054775953292847	106.65228969633863	5.763562166694583e-23	6.5799452684479625e-24	1.0	1.363919314173538e-12	1.4945221192943062e-12
Tspan2	1.5035964250564575	105.89869448245429	8.371832021492832e-23	6.487318469485494e-14	1.0	3.2594371131017356e-23	0.001775386796256359
Gm20342	1.640700101852417	105.73627121084509	9.073254471964971e-23	9.852234429826943e-20	1.0	5.726160438982658e-23	2.2607901804314948e-05
Bace1	1.726070761680603	104.69052999689903	1.5230863219241816e-22	3.405487392456819e-22	1.0	3.405487392456819e-22	3.002787549073318e-10
Cdkn1a	1.7272510528564453	101.84256398698517	6.24131657927361e-22	2.7981424926665836e-18	1.0	4.8149447439947205e-23	1.201772636838765e-11
Wsb1	1.5117706060409546	99.5298319950738	1.9614977431622167e-21	2.591184829555781e-10	1.0	2.2866920865053546e-21	0.006294104746235101
Ifitm6	1.7063785791397095	98.30004979895286	3.6056607208556984e-21	4.718154198412282e-21	1.0	9.950369237745374e-20	9.416793302847114e-12
Papss2	1.7150217294692993	97.69064242682731	4.875199069603535e-21	1.3719594893285894e-21	1.0	7.472768624518678e-17	3.918964123330401e-13
C3	1.7288846969604492	93.86667367454025	3.2349049377062756e-20	3.041803019621725e-17	1.0	4.308919827314805e-20	3.305146601867378e-13
Osbpl1a	-1.5491111278533936	92.7824881259612	5.531196900041015e-20	1.8722656569251054e-18	1.0	8.690329662620566e-06	1.7304375855008969e-07
Il6st	1.5727581977844238	92.67608407038846	5.830160407918209e-20	3.062167144983163e-10	1.0	3.098003360793285e-21	7.837416259376848e-06
Samd9l	-1.6262151002883911	91.07821757287556	1.2851560848505172e-19	1.8759471437504192e-20	1.0	7.048011517149544e-09	3.123506984183627e-07
Pak1	1.6130532026290894	88.54918463167827	4.488955172091056e-19	6.33429716502672e-07	1.0	9.476039680080463e-19	6.33429716502672e-07
Rassf4	1.706594705581665	88.34497776803533	4.965898572880019e-19	1.9530508758324986e-14	1.0	9.134131495350157e-20	1.007195936866552e-11
Pxylp1	1.5319392681121826	88.24568565490108	5.215788991383768e-19	0.00010286269181647259	1.0	3.4238427635395996e-17	0.00034975577625766783
Mfsd10	1.5361285209655762	87.06392770011195	9.355618408634161e-19	4.772060453731192e-17	1.0	7.818832842757196e-08	8.253425975529327e-13
Rab37	-1.6458243131637573	83.0614658495087	6.7640841824975295e-18	3.87391833195793e-19	1.0	1.281923949826542e-09	2.5711447792218943e-07
Xbp1	1.5347251892089844	81.0921532697697	1.789583555610071e-17	1.0651063130636143e-07	1.0	1.6391316555037524e-17	0.00605753345156407
Klrb1f	1.7267731428146362	79.83039936916732	3.337449803438165e-17	9.161151140752196e-16	1.0	8.376837962376845e-16	2.8972179468833536e-12
Sec24d	1.5182030200958252	79.37408116603171	4.181078700320746e-17	2.2242878075000693e-13	1.0	7.895455055660916e-06	3.429442614768373e-13
Lgals3bp	-1.6245309114456177	78.76845357055286	5.638661993246295e-17	1.673449349664327e-13	1.0	4.545698221188695e-18	5.643481706812205e-05
Cerk	1.6452000141143799	77.16065842842251	1.2472021099539038e-16	5.042578727278547e-07	1.0	5.556086118702377e-17	6.801284221524515e-07
Lactb	1.5020110607147217	74.87800634212878	3.8481569927363783e-16	1.1213533303400054e-14	1.0	0.00014671845141116303	3.838571745873869e-06
Erlin1	1.517665982246399	74.66635535551016	4.2718241456372253e-16	4.146836321637132e-13	1.0	2.5208198464560644e-06	4.146836321637132e-13
Fuca2	1.6112796068191528	74.56651668669781	4.487557234748868e-16	7.111169877830594e-17	1.0	1.1621468816628898e-12	0.0004653628972576386
Cep55	1.6072587966918945	73.7153538440837	6.829822065304697e-16	4.6197339076480285e-15	1.0	9.522293695167886e-09	1.0597396857621953e-11
Agps	1.6175618171691895	73.24588703854337	8.609972391112234e-16	7.201464563622872e-17	1.0	3.232934727873745e-08	1.0282622209761462e-05
Slc2a6	1.7218306064605713	73.02455724839032	9.603356056066196e-16	5.882281312860869e-17	1.0	8.335256152595013e-12	3.6196377607442544e-08
Nuak2	1.7111303806304932	68.02416251490695	1.130476919013258e-14	1.682828284104894e-12	1.0	1.54114350796671e-15	1.6112698309136476e-07
Diaph2	1.7134981155395508	67.13426525472082	1.752758354466918e-14	1.174258135898668e-12	1.0	2.4450944276525243e-15	1.0802081105894244e-05
Edem2	1.6258586645126343	66.70384296133702	2.166857491559493e-14	0.0007196638249704844	1.0	4.77270684000619e-13	0.0004956983428309645
Tmem43	1.7016098499298096	63.31332774706088	1.1510046069137454e-13	2.528799726756644e-13	1.0	1.8402678060367238e-11	6.67881816860716e-10
Slc31a2	1.6374437808990479	62.156206235918425	2.0345082770775287e-13	2.5326127347845557e-06	1.0	4.819551708175511e-14	1.9145386963602614e-05
Clec4e	1.6590744256973267	61.76850489202136	2.4622429445071895e-13	1.3553758968688906e-06	1.0	2.2361962869181791e-13	1.1508780031696844e-07
Cd82	-1.6858526468276978	58.293714730996456	1.3605009278086589e-12	6.197410839192323e-09	1.0	1.6504868847519867e-13	4.03099241059008e-07
Pfkfb3	1.6299760341644287	56.66458524452167	3.030460192916239e-12	2.0869856236258973e-06	1.0	6.724350898172442e-12	2.6397536021997955e-08
Lcn2	1.7229759693145752	56.57800652415138	3.1621904842216685e-12	2.1738462345147686e-09	1.0	4.082044619891998e-12	4.69829545713955e-09
Slco4a1	1.6114275455474854	56.48843049911911	3.304507323234252e-12	5.4376356836540934e-06	1.0	6.675785773562785e-13	7.525724878211161e-05
Ctsl	-1.6019444465637207	56.40027957482078	3.4508075927963403e-12	6.864221956446164e-13	1.0	2.5007682380728207e-06	0.0029836613808483046
Gys1	1.634930968284607	55.8955165621022	4.422242762646348e-12	4.888747109974165e-11	1.0	1.532635449438146e-05	9.484248322855313e-09
Cbfb	1.7026759386062622	55.33613834099925	5.821039663201128e-12	2.1830089759125925e-08	1.0	3.7297691134701416e-13	4.938363752349589e-05
Mlkl	1.6911394596099854	55.30244402776422	5.9181976427118415e-12	9.429527024209803e-12	1.0	3.2570233874368584e-08	6.420077378009872e-09
Myo7a	1.6804673671722412	54.89880549763699	7.216100310144169e-12	3.353977978066512e-11	1.0	7.425520796495049e-11	1.2888444521488121e-08
Flot2	1.590311884880066	54.70069487409849	7.953602922284281e-12	1.8192119410198077e-11	1.0	5.184740344870111e-05	2.1802549577866874e-06
Irf9	-1.5466305017471313	53.9719141192943	1.1376425763718316e-11	6.591078739178759e-10	1.0	0.0005641002802158562	1.1547795622057558e-07
Itpr1	1.609261155128479	53.96505672584681	1.1414799293182391e-11	1.8970010410610145e-11	1.0	3.0990244643828565e-11	0.0017624672874400565
Cd300a	1.6592298746109009	53.6756686781915	1.3157750716246491e-11	1.7113645834382248e-10	1.0	3.263117891162544e-12	0.000163685476140746
Tec	1.602687120437622	53.48084319162046	1.4478574564098178e-11	1.98654749352539e-12	1.0	1.2891030850591438e-09	0.0004919624597016486
Ttc39c	1.7109274864196777	53.465167034631	1.4590441697579945e-11	5.57864653954274e-11	1.0	9.423729951556635e-12	2.6854960626855917e-06
Tmx4	1.6506673097610474	52.36920460521516	2.4987180153565324e-11	5.453845689236572e-12	1.0	5.592172284699758e-07	1.1760256022426611e-06
Fam64a	1.5991522073745728	51.972161162543756	3.036277900060236e-11	6.791771104086252e-10	1.0	0.0002220947571649591	1.1897328160827927e-07
Ms4a4c	1.6948803663253784	51.339678542881366	4.1411596703308545e-11	1.4050746284951638e-07	1.0	3.4737696155234888e-12	0.0008875359574569695
Ccl6	1.699121117591858	50.07535952809431	7.699326533481416e-11	3.242312766445947e-11	1.0	2.9911213634462744e-10	2.717395584889507e-05
Ppm1f	1.7224657535552979	50.053022591220625	7.784127048774617e-11	5.361572708077082e-11	1.0	7.862980021501044e-09	1.3173853198953516e-07
Por	-1.6978579759597778	49.70208496236101	9.245812223225048e-11	1.9047746987656685e-11	1.0	1.4685874356859288e-09	2.3702957944841758e-05
S1pr3	1.7190085649490356	49.28385705950501	1.135003376053163e-10	2.7304348836122443e-09	1.0	7.067209948168533e-11	4.660061197659602e-07
Id1	1.6978564262390137	48.510720865319826	1.6579849015891102e-10	7.803446911308675e-11	1.0	1.0071188053980087e-06	7.542597012494838e-07
Slc39a6	1.6476072072982788	46.92210757032238	3.610763452565864e-10	2.582602749524801e-09	1.0	1.7566657353086875e-10	0.0029507985335689795
Acot9	1.6447079181671143	44.77954339982974	1.0306668439899443e-09	5.897228283862136e-10	1.0	2.14552201736026e-06	1.307172262613075e-06
Hsd11b1	1.7007278203964233	44.721360682509726	1.0604300842156776e-09	9.937028335595906e-10	1.0	1.5192532617017553e-09	0.0014229432464711218
Txndc5	1.5065137147903442	43.382844631530745	2.0408900206333222e-09	2.482490821517564e-08	1.0	0.0021824457158369248	9.479624675003151e-06
Ak4	1.5447114706039429	43.369028033007964	2.0547247784332173e-09	0.0007954257382624556	1.0	1.8771561340045642e-09	0.0008165017350160273
Man2b2	1.6249748468399048	42.26531882812644	3.5242613421243038e-09	3.05770496223607e-09	1.0	0.00020059540369760497	3.889542925664215e-05
Manba	1.7041925191879272	42.0429588525732	3.928785786976586e-09	1.1417107362859183e-07	1.0	5.656422749532484e-10	0.0003666927941238377
Micu1	1.6118978261947632	42.01944140251363	3.974193479356454e-09	2.424809465496515e-09	1.0	8.247132682916017e-05	2.7446307706381267e-05
Fut4	1.6981407403945923	41.18270809195575	5.9809735530873554e-09	1.0896638040354073e-08	1.0	4.2571443722948594e-09	3.7828381517176376e-05
Il17rb	1.7042236328125	41.08057497959934	6.286878883349563e-09	8.171083278538318e-10	1.0	6.127926665087775e-07	0.002633505437857505
Acox3	1.6638243198394775	40.771201122529966	7.3122015428078905e-09	4.362967331586132e-08	1.0	2.5868853096263376e-09	0.0038556418977534757
Trim45	1.6332191228866577	40.73688380786868	7.435763817165602e-09	0.00022744705860720192	1.0	4.5834287249894767e-07	3.5118503058480096e-08
Ms4a4b	1.6586309671401978	40.425908876521255	8.654967508393268e-09	0.00032088197325566374	1.0	3.248265636377943e-09	0.0005343918507799743
Gm26740	1.5844234228134155	39.76868573977161	1.1928500829066025e-08	2.0929692863788757e-07	1.0	2.7642853527232717e-09	0.0056938590306313125
Fam102b	1.6923985481262207	39.489735792181875	1.3667920029592234e-08	1.7841405938020128e-09	1.0	5.721461823680917e-06	0.0002512939238844919
Trim16	1.6563191413879395	39.46464806333821	1.3836258715635616e-08	1.8305079940995245e-09	1.0	8.328183663731945e-07	0.00031614009044955444
Zfp451	1.5155880451202393	38.52010753859859	2.1933793828989594e-08	2.609774149208839e-07	1.0	0.0014348583375869259	2.1335665565313904e-06
Ptpru	1.7265713214874268	38.153254161301625	2.622996790360757e-08	8.382879822361373e-09	1.0	1.0055955807878003e-07	0.00023640141117421226
Tnfrsf21	1.6894036531448364	37.79319311957558	3.1262647079685925e-08	0.00011526730342178948	1.0	1.0789509017910184e-08	0.00011526730342178948
