	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Mpl	1.6593581438064575	769.3635998386084	1.9071562450661515e-166	1.0	4.0544959094804556e-151	2.763994409407594e-206	1.3781710192401665e-51
Mecom	1.5630873441696167	501.0109759271008	2.8812227044191465e-108	1.0	1.491429626719964e-73	8.313458996107723e-117	5.273032698154993e-13
Procr	1.6929866075515747	483.7449847275045	1.589478104518548e-104	1.0	2.5236025043638128e-58	5.1035444191611875e-118	1.2436674004688771e-22
Adgrg1	1.65670645236969	452.5908373428732	8.95153976457946e-98	1.0	8.258570551170134e-60	1.46611554057102e-104	1.3136675830750742e-22
Myct1	1.5493474006652832	438.3617233342839	1.0834402538236625e-94	1.0	1.070645704239496e-53	9.802258445676403e-104	3.642251418383221e-13
Serpina3g	1.6430919170379639	413.6344472612651	2.4644249229773118e-89	1.0	1.415793823485394e-26	9.418126704989171e-103	6.878758708429061e-28
Taldo1	-1.5834462642669678	402.07058232845117	7.882241454161074e-87	1.0	1.6714668634333485e-29	2.246573264839082e-101	6.606893253121298e-09
Angpt1	1.6489588022232056	357.62234865970044	3.3354575212646282e-77	1.0	1.0281092305757084e-49	8.2541646988841815e-75	4.0800234637618184e-18
Hacd4	1.6273382902145386	354.4252576510443	1.6423124124055934e-76	1.0	2.937286871740837e-46	4.400864315889149e-77	1.4277974069609305e-13
Esam	1.7190645933151245	343.9617206505727	3.0277056376707296e-74	1.0	2.4111297053367994e-43	3.60206570809611e-74	9.566807985747687e-18
Gng11	1.7272018194198608	330.6772725883075	2.2766291341443845e-71	1.0	1.8114244575312618e-37	1.2924238941295388e-68	1.7019264762508763e-27
Rab38	1.7253841161727905	313.51694214497707	1.1806203304645857e-67	1.0	1.1460170815992122e-36	2.0661951895157497e-65	2.1840048562273744e-22
Ucp2	-1.5387656688690186	306.67398442674147	3.575017902884865e-66	1.0	1.263329221687963e-07	2.8176153131494433e-75	7.401917232085968e-13
Cd63	1.571885585784912	296.79854320753185	4.90503496067577e-64	1.0	4.4103528281697044e-13	1.333542545825395e-66	2.4386421863738277e-27
Ubash3a	-1.5056240558624268	294.91599676164753	1.253312593524972e-63	1.0	1.349497308877919e-23	7.873192585903897e-70	2.4470750850728694e-06
F11r	1.5629384517669678	293.32080758194036	2.775112104749234e-63	1.0	1.9937988430075266e-33	1.5448770188576176e-64	1.0423629465701696e-08
Cd63-ps	1.5854041576385498	288.6875058638005	2.792256408042709e-62	1.0	6.451682592731301e-13	9.340609729918226e-65	4.2221586700960805e-26
Mmrn1	1.721666693687439	284.0541794767612	2.8091842222941597e-61	1.0	3.0995092709569205e-34	2.870843553762428e-59	5.827533834412145e-16
Socs2	1.6057884693145752	273.613554723485	5.101043349544945e-59	1.0	6.52225180156183e-37	2.644456736204788e-55	2.941587459178051e-05
Maged1	1.626809000968933	273.2636184456871	6.072546168376016e-59	1.0	2.154961736669542e-29	2.3973286834488073e-60	1.1976666807257188e-09
Trim47	1.6385689973831177	262.81063900352103	1.1086629904363381e-56	1.0	9.2062273419272e-37	4.9739641818257186e-39	1.945460469977246e-30
Ndn	1.7171703577041626	257.17149228122275	1.839291091963286e-55	1.0	2.9349103348062533e-31	6.659455926404825e-54	6.244690946205316e-10
Tsc22d3	1.5529149770736694	235.81193253336912	7.658479274228543e-51	1.0	1.644733028769504e-27	7.644967002970638e-50	1.443903965166514e-06
Trpc6	1.7085771560668945	233.45420031055266	2.4771591650119456e-50	1.0	1.5688832847238822e-27	2.394774968765028e-48	5.993838930876433e-11
Tie1	1.679643154144287	216.78137264587224	9.964689644219838e-47	1.0	1.9201715955809128e-12	1.8877615538942743e-50	2.8797676566487065e-11
Cish	1.6924819946289062	215.30442510911132	2.0782984427878483e-46	1.0	1.5583042733648215e-23	9.3210071919911e-45	7.832759875908627e-12
